,username,comments,timestamp,postUrl,pubDate,description
0,hadzmanradzak2021,So basically taking money from Peter to pay Paul?,2021-02-16T12:28:24.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
1,breathe_laugh_love_hear,Nothing mentioned  about helping disable people,2021-02-16T15:02:16.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
2,sadist.bitch,"É?? sooner rather than later É?? uh nahhh itÉ??s fine, the later the better ???ü",2021-02-17T10:21:36.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
3,yeungkw0830,GST for online purchases.. what?? I wonder who came out with this brilliant idea.,2021-02-17T15:20:00.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
4,deliveriesontuesday,Éù?ã?èÉù?ã?èÉù?ã?èÉù?ã?èÉù?ã?èÉù?ã?èÉù?ã?èÉù?ã?èÉù?ã?è. Thanks for give so much and taking even more,2021-02-16T15:21:21.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
5,zurazzz,???õ,2021-02-16T13:59:27.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
6,jasmine.tan.wee.ling,We don't need it. We don't need handouts,2021-02-16T12:50:25.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
7,nodnez,Hopefully the government uses my tax payer money on useful things,2021-02-16T16:21:54.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
8,taboo_love86,NO way ???õ,2021-02-16T14:51:43.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
9,_felixstarz_,???õ,2021-02-16T14:43:38.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
10,l_u_ls,Bruh the GST ???õ,2021-02-16T14:40:23.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
11,cyf9751,zero ARF for electric cars ?,2021-02-17T08:40:34.000Z,https://www.instagram.com/p/CLWlMzYLbbN/,2021-02-16T12:19:09.000Z,"Missed #SGBudget2021? Here's what you need to know.

Link in bio @straits_times
#StraitsTimes"
0,andunderscorerew,Am I understanding this correctly? The average household in SG earns over $9000 a month?,2021-02-08T06:44:36.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
1,muskarimy,Average is 10k with 4 adults in household working full time or 2 adults working at Sheng shiong... ???ú,2021-02-08T07:26:57.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
2,patricia.tong1602,"How did they do this survey?!?! At those $$, are they looking at high income families? I'm on the lowest of low ???õ",2021-02-08T06:51:09.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
3,aren_woka_,that is average?,2021-02-08T06:36:54.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
4,amazingg.me,What happen with sg?,2021-02-08T06:35:12.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
5,thedarthfaisal,Many commenters so surprised. Median does not equal average HH income ???ù,2021-02-08T10:02:24.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
6,94arisha,Covid-19 meh. Other countries are affected harder. There are sure ups and downs in life.,2021-02-08T06:43:23.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
7,sharnster73,"$9000 over what time period? Month, year, what?",2021-02-08T09:37:33.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
8,alvinseekianboon,like tat all cannot stay HDB liao...must apply EC or condo...,2021-02-08T23:39:11.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
9,thefinancialcoconut,This is definitely a challenge.,2021-02-08T06:43:10.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
10,captain_poyo,Really real meh?Now really real last time no real ah?Last time just wayang is it?Really confusing how they do the math...????.,2021-02-08T12:49:11.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
11,_an_y_hua,shouldn't it be 4k to 6 per house hold ? due to medical issue it's  now just 2.7 for my household,2021-02-08T20:54:07.000Z,https://www.instagram.com/p/CLBXMlpn-75/,2021-02-08T06:32:44.000Z,"The overall median household income from work fell from $9,425 to $9,189 amid the Covid-19 pandemic. After taking into account inflation, this works out to a 2.4% drop in real terms.

The lower-income households were the hardest hit, with those in the bottom 10% seeing a 6.1% real decline in income.

Link in bio @straits_times
????: Jason Quah
#StraitsTimes #Covid19 #sgeconomy #coronavirus"
0,a.alissaaa__,alice in de wonderland,2020-11-09T06:18:01.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
1,sridevi_jlc,Cant read full article without subscribing????????????,2020-11-09T06:22:59.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
2,lisanikita,@elst_92,2020-11-09T06:24:09.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
3,zullaihahahaha,@saaaalimah,2020-11-09T06:24:47.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
4,rdineshx,Ahhhh its located at buangkok square,2020-11-09T06:26:18.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
5,_muayyyaad_,Watermelon????,2020-11-09T07:02:15.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
6,c_h_ief,And get HFMD,2020-11-09T07:03:37.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
7,nmtcovas,@chuckadees,2020-11-09T07:19:08.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
8,spideynflash_22zzz,@troublemaker3256 ????,2020-11-09T07:28:16.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
9,thewirekraft.co,Lakeside is my favourite!! ????,2020-11-09T07:28:26.000Z,https://www.instagram.com/p/CHXA6kcl8We/,2020-11-09T06:15:45.000Z,"Planning a day out with your kids? Stretch your school holiday budget and seek out these free outdoor playgrounds in the heartland. Find out where they are - link in bio @straits_times 
????: Gavin Foo, Lim Yaohui, Alphonsus Chern
#Playground #playtime #holidays #kidsactivities #StraitsTimes"
